id,team_id,possession_style,defensive_style,defensive_line,width,attacking_mindset,formation,team_level,possession_pct,ppda,passes_completed,progressive_passes,final_third_entries,shot_creating_actions,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen
85,78,Possession,High Press,Low,Balanced,Balanced,5-3-2,88,56.6,40.78151260504202,0.0,1428.0,497.0,0.0,2192.0,6914.0,8962.0,5583.0,903.0
86,14,Counter,Mid-Block,Medium,Balanced,Balanced,4-3-3,42,45.4,37.934865900383144,0.0,1037.0,302.0,0.0,1588.0,5179.0,7297.0,3678.0,664.0
87,3,Balanced,Mid-Block,Low,Balanced,Balanced,4-4-2,38,47.3,44.05241935483871,0.0,961.0,365.0,0.0,2058.0,6009.0,7779.0,3713.0,587.0
88,91,Defensive,Mid-Block,Low,Balanced,Defensive,5-3-2,14,39.9,45.260416666666664,0.0,902.0,223.0,0.0,1887.0,5537.0,6736.0,3603.0,636.0
89,2,Counter,Mid-Block,Medium,Wide,Balanced,4-2-3-1,32,46.9,40.70181818181818,0.0,1102.0,346.0,0.0,1866.0,5847.0,8008.0,4310.0,550.0
90,42,Balanced,Mid-Block,Low,Wide,Defensive,4-4-2,8,43.4,48.30731707317073,0.0,790.0,257.0,0.0,2213.0,6811.0,6603.0,2804.0,419.0
91,61,Balanced,Mid-Block,Low,Wide,Balanced,4-3-3,16,44.6,38.8739837398374,0.0,880.0,315.0,0.0,2270.0,6044.0,6865.0,3611.0,518.0
92,49,Balanced,Mid-Block,Low,Balanced,Balanced,4-4-2,66,48.6,51.44843049327354,0.0,1224.0,415.0,0.0,1964.0,6056.0,7435.0,4352.0,767.0
93,37,Balanced,Mid-Block,Low,Balanced,Balanced,4-4-2,44,49.5,54.02232142857143,0.0,1176.0,306.0,0.0,2183.0,6838.0,8002.0,4148.0,706.0
94,63,Counter,High Press,Low,Balanced,Balanced,5-3-2,47,47.6,41.241721854304636,0.0,1047.0,349.0,0.0,2546.0,7185.0,8353.0,4201.0,732.0
95,68,Counter,Mid-Block,Low,Balanced,Balanced,4-4-1-1,34,46.0,42.89787234042553,0.0,1066.0,300.0,0.0,1997.0,5781.0,7304.0,3915.0,644.0
96,33,Counter,Mid-Block,Low,Balanced,Balanced,4-5-1,44,47.5,47.959016393442624,0.0,989.0,384.0,0.0,2192.0,6483.0,8292.0,3892.0,607.0
