Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Unnamed: 8_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 25_level_0_Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
176,André Ayew,gh GHA,FW,Le Havre,fr Ligue 1,35-082,1989,10.8,9,0.83,7,0,0,1,1,0,1,0.09,1,0,0,0,0,0,Matches
177,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,eng Premier League,33-179,1991,0.2,1,4.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
178,Jordan Ayew,gh GHA,"FW,MF",Leicester City,eng Premier League,33-179,1991,14.4,28,1.94,18,6,1,2,0,1,1,0.07,1,0,0,0,0,0,Matches
179,Neil El Aynaoui,fr FRA,MF,Lens,fr Ligue 1,23-250,2001,10.1,21,2.08,14,6,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
180,Ayman Azhil,ma MAR,MF,Dortmund,de Bundesliga,23-333,2001,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
181,Adam Aznou,ma MAR,"DF,MF",Valladolid,es La Liga,18-280,2006,2.6,4,1.51,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
182,Adam Aznou,ma MAR,DF,Bayern Munich,de Bundesliga,18-280,2006,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
183,César Azpilicueta,es ESP,DF,Atlético Madrid,es La Liga,35-193,1989,6.3,4,0.63,3,1,0,0,0,0,1,0.16,1,0,0,0,0,0,Matches
184,Paulo Azzi,br BRA,DF,Cagliari,it Serie A,30-237,1994,4.7,15,3.17,9,2,1,2,0,1,0,0.00,0,0,0,0,0,0,Matches
185,Oussama El Azzouzi,ma MAR,MF,Bologna,it Serie A,23-284,2001,0.1,1,11.25,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
186,Papa Ba,es ESP,MF,Girona,es La Liga,20-178,2004,0.5,2,3.75,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
187,Shavy Babicka,ga GAB,"MF,FW",Toulouse,fr Ligue 1,24-281,2000,10.8,27,2.50,19,1,3,0,2,2,4,0.37,3,0,1,0,0,0,Matches
188,Jacopo Bacci,it ITA,MF,Empoli,it Serie A,19-263,2005,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
189,Aliou Badara Baldé,gn GUI,"MF,FW",Bochum,de Bundesliga,22-087,2002,1.0,3,2.93,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
190,Loïc Bade,fr FRA,DF,Sevilla,es La Liga,24-332,2000,20.2,15,0.74,13,0,0,2,0,0,1,0.05,1,0,0,0,0,0,Matches
191,Milan Badelj,hr CRO,MF,Genoa,it Serie A,36-012,1989,14.9,24,1.61,18,0,0,4,2,0,1,0.07,0,0,0,1,0,0,Matches
192,Benoît Badiashile,fr FRA,DF,Chelsea,eng Premier League,23-348,2001,2.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
193,Alex Baena,es ESP,"MF,FW",Villarreal,es La Liga,23-232,2001,22.2,137,6.17,89,34,2,7,4,1,17,0.77,14,2,0,0,1,0,Matches
194,Juma Bah,sl SLE,DF,Valladolid,es La Liga,18-332,2006,9.6,2,0.21,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
195,Juma Bah,sl SLE,DF,Lens,fr Ligue 1,18-332,2006,1.2,1,0.84,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
196,Leon Bailey,jm JAM,"FW,MF",Aston Villa,eng Premier League,27-212,1997,12.6,38,3.01,23,1,8,3,3,0,4,0.32,4,0,0,0,0,0,Matches
197,Eric Bailly,ci CIV,DF,Villarreal,es La Liga,30-331,1994,6.4,2,0.31,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
198,Theo Bair,ca CAN,FW,Auxerre,fr Ligue 1,25-194,1999,7.2,16,2.22,14,0,1,1,0,0,1,0.14,1,0,0,0,0,0,Matches
199,Stefan Bajcetic,es ESP,"MF,DF",Las Palmas,es La Liga,20-138,2004,3.5,6,1.70,5,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
200,Cédric Bakambu,cd COD,FW,Betis,es La Liga,33-332,1991,5.7,9,1.57,8,0,0,1,0,0,1,0.17,1,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
201,Mitchel Bakker,nl NED,MF,Atalanta,it Serie A,24-262,2000,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
202,Mitchel Bakker,nl NED,"DF,FW",Lille,fr Ligue 1,24-262,2000,8.5,28,3.23,19,7,1,1,0,0,2,0.23,2,0,0,0,0,0,Matches
203,Darryl Bakola,fr FRA,DF,Marseille,fr Ligue 1,17-099,2007,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
204,Ridle Baku,de GER,"FW,MF",Wolfsburg,de Bundesliga,26-335,1998,13.0,31,2.38,22,2,1,3,1,2,4,0.31,3,0,0,0,1,0,Matches
205,Ridle Baku,de GER,"DF,MF",RB Leipzig,de Bundesliga,26-335,1998,7.9,14,1.77,11,1,2,0,0,0,3,0.38,3,0,0,0,0,0,Matches
206,Dilane Bakwa,fr FRA,"MF,FW",Strasbourg,fr Ligue 1,22-195,2002,19.4,72,3.72,43,16,6,2,3,2,10,0.52,9,0,1,0,0,0,Matches
207,Tommaso Baldanzi,it ITA,"MF,FW",Roma,it Serie A,21-351,2003,6.6,27,4.10,16,0,4,4,2,1,4,0.61,3,0,0,0,0,1,Matches
208,Alejandro Balde,es ESP,DF,Barcelona,es La Liga,21-142,2003,19.9,66,3.32,51,3,3,2,7,0,11,0.55,9,0,0,0,2,0,Matches
209,Keita Baldé,sn SEN,"FW,MF",Monza,it Serie A,30-001,1995,2.1,6,2.90,3,0,1,1,1,0,0,0.00,0,0,0,0,0,0,Matches
210,Carlos Baleba,cm CMR,MF,Brighton,eng Premier League,21-065,2004,20.7,53,2.56,44,0,2,3,1,3,4,0.19,2,0,0,0,1,1,Matches
211,Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,26-042,1999,20.0,24,1.20,21,0,2,1,0,0,2,0.10,2,0,0,0,0,0,Matches
212,Iván Balliu,al ALB,DF,Rayo Vallecano,es La Liga,33-067,1992,8.5,11,1.30,8,2,0,0,1,0,1,0.12,1,0,0,0,0,0,Matches
213,Fodé Ballo-Touré,sn SEN,DF,Le Havre,fr Ligue 1,28-065,1997,2.1,1,0.47,1,0,0,0,0,0,1,0.47,1,0,0,0,0,0,Matches
214,Botond Balogh,hu HUN,DF,Parma,it Serie A,22-276,2002,19.8,8,0.40,7,0,0,0,0,1,2,0.10,2,0,0,0,0,0,Matches
215,Folarin Balogun,us USA,FW,Monaco,fr Ligue 1,23-249,2001,5.2,16,3.07,11,0,1,3,1,0,2,0.38,0,0,1,1,0,0,Matches
216,Mario Balotelli,it ITA,"FW,MF",Genoa,it Serie A,34-209,1990,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
217,Abdoulaye Bamba,ci CIV,DF,Angers,fr Ligue 1,34-318,1990,10.8,8,0.74,6,0,0,0,0,2,0,0.00,0,0,0,0,0,0,Matches
218,Jonathan Bamba,ci CIV,"FW,MF",Celta Vigo,es La Liga,28-348,1996,9.0,28,3.11,24,0,2,2,0,0,4,0.44,4,0,0,0,0,0,Matches
219,Mohamed Bamba,ci CIV,MF,Reims,fr Ligue 1,20-152,2004,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
220,Samuel Bamba,de GER,"FW,DF",Bochum,de Bundesliga,21-024,2004,0.2,1,6.43,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
221,Lameck Banda,zm ZAM,"FW,MF",Lecce,it Serie A,24-039,2001,5.7,18,3.18,11,1,2,1,3,0,1,0.18,1,0,0,0,0,0,Matches
222,Daniel Bandeira,pt POR,MF,Hellas Verona,it Serie A,24-332,2000,4.5,6,1.33,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
223,Mattia Bani,it ITA,DF,Genoa,it Serie A,31-089,1993,14.8,7,0.47,6,0,0,1,0,0,2,0.14,1,0,0,1,0,0,Matches
224,Noahkai Banks,us USA,DF,Augsburg,de Bundesliga,18-098,2006,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
225,Scott Banks,sct SCO,"FW,MF",St. Pauli,de Bundesliga,23-164,2001,1.1,3,2.70,0,0,1,1,1,0,1,0.90,0,0,0,1,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
226,Adrian Baquerin,es ESP,FW,Valladolid,es La Liga,18-005,2007,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
227,Antonín Barák,cz CZE,MF,Fiorentina,it Serie A,30-096,1994,0.6,3,5.00,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
228,Federico Barba,it ITA,DF,Como,it Serie A,31-189,1993,4.8,3,0.63,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
229,Valentín Barco,ar ARG,"DF,FW",Sevilla,es La Liga,20-229,2004,3.2,10,3.12,5,4,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
230,Valentín Barco,ar ARG,DF,Strasbourg,fr Ligue 1,20-229,2004,3.3,4,1.22,4,0,0,0,0,0,2,0.61,2,0,0,0,0,0,Matches
231,Bradley Barcola,fr FRA,FW,Paris S-G,fr Ligue 1,22-188,2002,18.7,74,3.95,62,0,5,4,2,1,15,0.80,12,0,1,2,0,0,Matches
232,Melvin Bard,fr FRA,"DF,MF",Nice,fr Ligue 1,24-123,2000,13.7,24,1.76,19,1,3,1,0,0,1,0.07,1,0,0,0,0,0,Matches
233,Nicolò Barella,it ITA,MF,Inter,it Serie A,28-030,1997,21.4,94,4.34,72,7,5,5,4,1,13,0.60,12,0,1,0,0,0,Matches
234,Gabriel Bares,ch SUI,"MF,DF",Montpellier,fr Ligue 1,24-192,2000,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
235,Borna Barišić,hr CRO,DF,Leganés,es La Liga,32-119,1992,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
236,Kike Barja,es ESP,"FW,MF",Osasuna,es La Liga,27-342,1997,2.7,11,4.01,6,1,2,0,2,0,1,0.36,0,0,0,0,1,0,Matches
