Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 37_level_0_Matches
479,Marc Casado,es ESP,MF,Barcelona,es La Liga,21-176,2003,22,19,1545,17.2,1,3,4,1,0,0,4,1,1.1,1.1,1.4,2.4,12,104,24,0.06,0.17,0.23,0.06,0.23,0.06,0.08,0.14,0.06,0.14,Matches
480,Nicolò Casale,it ITA,DF,Bologna,it Serie A,27-023,1998,11,6,599,6.7,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,1,17,1,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,Matches
481,Nicolò Casale,it ITA,DF,Lazio,it Serie A,27-023,1998,2,2,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
482,Casemiro,br BRA,MF,Manchester Utd,eng Premier League,33-014,1992,17,12,1011,11.2,1,0,1,1,0,0,2,0,1.3,1.3,2.2,3.5,3,56,23,0.09,0.00,0.09,0.09,0.09,0.12,0.20,0.31,0.12,0.31,Matches
483,Kaelan Casey,eng ENG,DF,West Ham,eng Premier League,20-132,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
484,Matty Cash,pl POL,"DF,FW",Aston Villa,eng Premier League,27-214,1997,19,16,1396,15.5,1,1,2,1,0,0,6,0,0.2,0.2,1.0,1.3,38,31,50,0.06,0.06,0.13,0.06,0.13,0.02,0.07,0.08,0.02,0.08,Matches
485,Josué Casimir,fr FRA,"MF,FW",Le Havre,fr Ligue 1,23-166,2001,17,13,1135,12.6,2,2,4,2,0,0,4,0,1.9,1.9,1.2,3.1,35,24,71,0.16,0.16,0.32,0.16,0.32,0.15,0.09,0.25,0.15,0.25,Matches
486,Federico Cassa,it ITA,"MF,FW",Atalanta,it Serie A,19-036,2006,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
487,Cristian Cásseres Jr.,ve VEN,MF,Toulouse,fr Ligue 1,25-048,2000,23,22,1905,21.2,1,2,3,1,0,0,7,0,0.5,0.5,1.6,2.1,21,89,32,0.05,0.09,0.14,0.05,0.14,0.02,0.08,0.10,0.02,0.10,Matches
488,Timothy Castagne,be BEL,DF,Fulham,eng Premier League,29-094,1995,18,13,1252,13.9,0,1,1,0,0,0,1,0,0.3,0.3,1.2,1.4,16,53,58,0.00,0.07,0.07,0.00,0.07,0.02,0.08,0.10,0.02,0.10,Matches
489,Valentín Castellanos,ar ARG,FW,Lazio,it Serie A,26-157,1998,22,21,1774,19.7,9,3,12,7,2,3,6,1,12.1,10.0,2.5,12.5,23,49,119,0.46,0.15,0.61,0.36,0.51,0.62,0.13,0.74,0.51,0.63,Matches
490,Jean-Charles Castelletto,cm CMR,"DF,MF",Nantes,fr Ligue 1,30-042,1995,22,22,1917,21.3,0,0,0,0,0,0,4,0,1.1,1.1,0.1,1.2,13,75,8,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.06,0.05,0.06,Matches
491,Santiago Castro,ar ARG,FW,Bologna,it Serie A,20-161,2004,27,23,1957,21.7,7,4,11,7,0,1,4,0,5.9,5.1,2.2,7.4,14,33,119,0.32,0.18,0.51,0.32,0.51,0.27,0.10,0.38,0.24,0.34,Matches
492,Gaetano Castrovilli,it ITA,"MF,FW",Monza,it Serie A,28-020,1997,4,1,145,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,8,6,5,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09,Matches
493,Gaetano Castrovilli,it ITA,"MF,FW",Lazio,it Serie A,28-020,1997,9,1,148,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.7,0.8,5,10,6,0.00,0.00,0.00,0.00,0.00,0.05,0.44,0.49,0.05,0.49,Matches
494,Danilo Cataldi,it ITA,MF,Fiorentina,it Serie A,30-215,1994,18,16,1125,12.5,3,0,3,3,0,0,1,0,1.0,1.0,0.5,1.5,14,62,10,0.24,0.00,0.24,0.24,0.24,0.08,0.04,0.12,0.08,0.12,Matches
495,Catena,es ESP,DF,Osasuna,es La Liga,30-132,1994,24,24,2142,23.8,0,1,1,0,0,0,7,0,1.7,1.7,0.7,2.4,9,66,2,0.00,0.04,0.04,0.00,0.04,0.07,0.03,0.10,0.07,0.10,Matches
496,Maximiliano Caufriez,be BEL,DF,Valencia,es La Liga,28-021,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
497,Dani Ceballos,es ESP,MF,Real Madrid,es La Liga,28-214,1996,15,10,832,9.2,0,0,0,0,0,0,4,0,0.3,0.3,1.4,1.7,28,111,11,0.00,0.00,0.00,0.00,0.00,0.03,0.15,0.18,0.03,0.18,Matches
498,Abdoulie Ceesay,gm GAM,FW,St. Pauli,de Bundesliga,21-063,2004,6,0,52,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
499,Zeki Çelik,tr TUR,DF,Roma,it Serie A,28-020,1997,23,19,1570,17.4,0,2,2,0,0,0,3,0,0.5,0.5,1.3,1.7,19,66,66,0.00,0.11,0.11,0.00,0.11,0.03,0.07,0.10,0.03,0.10,Matches
500,Fabien Centonze,fr FRA,DF,Nantes,fr Ligue 1,29-052,1996,2,1,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,3,8,13,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.17,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
501,Alberto Cerri,it ITA,FW,Como,it Serie A,28-327,1996,5,0,87,1.0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,1.0,0,0,11,0.00,0.00,0.00,0.00,0.00,1.05,0.00,1.05,1.05,1.05,Matches
502,Franco Cervi,ar ARG,"FW,MF",Celta Vigo,es La Liga,30-287,1994,6,4,258,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,3,14,21,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.00,0.12,Matches
503,Julian Chabot,de GER,DF,Stuttgart,de Bundesliga,27-025,1998,22,19,1629,18.1,1,1,2,1,0,0,9,1,1.2,1.2,0.2,1.4,6,65,2,0.06,0.06,0.11,0.06,0.11,0.07,0.01,0.08,0.07,0.08,Matches
504,El Chadaille Bitshiabu,fr FRA,DF,RB Leipzig,de Bundesliga,19-297,2005,14,6,555,6.2,0,0,0,0,0,0,1,0,0.2,0.2,0.4,0.6,3,40,2,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.09,0.03,0.09,Matches
505,Fares Chaïbi,dz ALG,"MF,FW",Eint Frankfurt,de Bundesliga,22-101,2002,16,6,642,7.1,1,0,1,1,0,0,2,0,2.2,2.2,1.2,3.4,11,32,40,0.14,0.00,0.14,0.14,0.14,0.30,0.16,0.47,0.30,0.47,Matches
506,Trevoh Chalobah,eng ENG,DF,Crystal Palace,eng Premier League,25-247,1999,12,12,1060,11.8,3,0,3,3,0,0,1,0,1.2,1.2,0.4,1.6,11,34,6,0.25,0.00,0.25,0.25,0.25,0.10,0.03,0.14,0.10,0.14,Matches
507,Trevoh Chalobah,eng ENG,DF,Chelsea,eng Premier League,25-247,1999,5,4,278,3.1,0,1,1,0,0,0,0,0,0.2,0.2,1.1,1.3,2,12,0,0.00,0.32,0.32,0.00,0.32,0.07,0.37,0.44,0.07,0.44,Matches
508,Timothy Chandler,us USA,DF,Eint Frankfurt,de Bundesliga,34-345,1990,2,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
509,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,eng Premier League,28-021,1997,15,7,614,6.8,1,1,2,1,0,0,1,0,1.2,1.2,0.6,1.8,10,25,20,0.15,0.15,0.29,0.15,0.29,0.17,0.09,0.26,0.17,0.26,Matches
510,Brendan Chardonnet,fr FRA,DF,Brest,fr Ligue 1,30-077,1994,21,21,1890,21.0,1,0,1,1,0,0,3,0,0.6,0.6,0.6,1.2,7,43,3,0.05,0.00,0.05,0.05,0.05,0.03,0.03,0.06,0.03,0.06,Matches
511,Gabriel Charpentier,cg CGO,FW,Parma,it Serie A,25-296,1999,10,0,271,3.0,1,2,3,1,0,0,1,0,1.3,1.3,0.9,2.3,6,7,16,0.33,0.66,1.00,0.33,1.00,0.44,0.31,0.75,0.44,0.75,Matches
512,Raúl Chasco,es ESP,DF,Valladolid,es La Liga,21-177,2003,2,1,130,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
513,Anrie Chase,jp JPN,DF,Stuttgart,de Bundesliga,20-350,2004,12,7,734,8.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,6,28,2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
514,Pep Chavarría,es ESP,DF,Rayo Vallecano,es La Liga,26-333,1998,22,18,1650,18.3,0,1,1,0,0,0,1,0,1.0,1.0,1.0,2.0,30,76,82,0.00,0.05,0.05,0.00,0.05,0.05,0.06,0.11,0.05,0.11,Matches
515,Arthur Chaves,br BRA,DF,Hoffenheim,de Bundesliga,24-039,2001,17,15,1384,15.4,0,0,0,0,0,0,4,0,0.4,0.4,0.1,0.5,7,42,10,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.03,0.03,Matches
516,Jhoanner Chávez,ec ECU,"DF,MF",Lens,fr Ligue 1,22-318,2002,10,7,596,6.6,1,0,1,1,0,0,1,0,0.3,0.3,0.7,1.0,14,9,36,0.15,0.00,0.15,0.15,0.15,0.04,0.11,0.15,0.04,0.15,Matches
517,Walid Cheddira,ma MAR,FW,Napoli,it Serie A,27-046,1998,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.20,Matches
518,Walid Cheddira,ma MAR,FW,Espanyol,es La Liga,27-046,1998,17,5,592,6.6,1,1,2,1,0,0,2,0,0.9,0.9,1.2,2.1,7,11,31,0.15,0.15,0.30,0.15,0.30,0.13,0.18,0.31,0.13,0.31,Matches
519,Chema,es ESP,MF,Real Madrid,es La Liga,19-318,2005,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
520,Théo Chennahi,fr FRA,"MF,DF",Montpellier,fr Ligue 1,20-031,2005,2,0,8,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
521,Sidiki Cherif,fr FRA,FW,Angers,fr Ligue 1,18-084,2006,7,3,324,3.6,0,0,0,0,0,0,0,0,0.7,0.7,0.2,0.9,8,3,16,0.00,0.00,0.00,0.00,0.00,0.20,0.05,0.25,0.20,0.25,Matches
522,Rayan Cherki,fr FRA,"FW,MF",Lyon,fr Ligue 1,21-204,2003,20,15,1314,14.6,5,9,14,5,0,0,2,0,3.6,3.6,7.7,11.2,55,145,120,0.34,0.62,0.96,0.34,0.96,0.24,0.53,0.77,0.24,0.77,Matches
523,Lucas Chevalier,fr FRA,GK,Lille,fr Ligue 1,23-123,2001,25,25,2250,25.0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
524,Fabio Chiarodia,it ITA,DF,Gladbach,de Bundesliga,19-277,2005,10,0,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
525,Julián Chicco,ar ARG,MF,Leganés,es La Liga,27-055,1998,11,1,198,2.2,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,7,14,4,0.00,0.00,0.00,0.00,0.00,0.22,0.04,0.26,0.22,0.26,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
526,Leandro Chichizola,ar ARG,GK,Parma,it Serie A,34-347,1990,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
527,Federico Chiesa,it ITA,FW,Liverpool,eng Premier League,27-135,1997,3,0,28,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,1,4,0.00,0.00,0.00,0.00,0.00,0.52,0.00,0.52,0.52,0.52,Matches
528,Ben Chilwell,eng ENG,"DF,MF",Crystal Palace,eng Premier League,28-078,1996,3,0,51,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,0,2,5,0.00,0.00,0.00,0.00,0.00,0.08,0.23,0.31,0.08,0.31,Matches
529,Chiquinho,pt POR,MF,Wolves,eng Premier League,25-032,2000,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.42,0.00,0.42,Matches
530,Chiquinho,pt POR,"MF,FW",Mallorca,es La Liga,25-032,2000,8,1,146,1.6,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,4,1,12,0.00,0.00,0.00,0.00,0.00,0.19,0.02,0.21,0.19,0.21,Matches
531,Pedro Chirivella,es ESP,MF,Nantes,fr Ligue 1,27-290,1997,22,21,1766,19.6,0,2,2,0,0,0,4,0,0.3,0.3,1.2,1.5,6,128,18,0.00,0.10,0.10,0.00,0.10,0.02,0.06,0.08,0.02,0.08,Matches
532,Joris Chotard,fr FRA,MF,Montpellier,fr Ligue 1,23-166,2001,17,17,1375,15.3,1,0,1,1,0,0,5,0,0.7,0.7,0.3,1.0,14,60,29,0.07,0.00,0.07,0.07,0.07,0.05,0.02,0.07,0.05,0.07,Matches
533,Hamza Choudhury,eng ENG,"MF,DF",Leicester City,eng Premier League,27-159,1997,4,1,131,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,4,3,6,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.27,0.00,0.27,Matches
534,Andreas Christensen,dk DEN,DF,Barcelona,es La Liga,28-333,1996,1,0,27,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
535,Ryan Christie,sct SCO,MF,Bournemouth,eng Premier League,30-015,1995,26,24,1924,21.4,2,3,5,2,0,0,9,0,1.7,1.7,3.2,4.9,28,127,41,0.09,0.14,0.23,0.09,0.23,0.08,0.15,0.23,0.08,0.23,Matches
536,Carney Chukwuemeka,eng ENG,"MF,FW",Dortmund,de Bundesliga,21-140,2003,2,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,3,3,3,0.00,0.00,0.00,0.00,0.00,0.06,0.36,0.42,0.06,0.42,Matches
537,Samuel Chukwueze,ng NGA,"FW,MF",Milan,it Serie A,25-291,1999,21,9,799,8.9,3,0,3,3,0,0,0,0,2.4,2.4,2.2,4.6,41,26,103,0.34,0.00,0.34,0.34,0.34,0.27,0.25,0.52,0.27,0.52,Matches
538,Aaron Ciammaglichella,it ITA,MF,Torino,it Serie A,20-042,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
539,Jasper Cillessen,nl NED,GK,Las Palmas,es La Liga,35-321,1989,24,24,2129,23.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
540,Alessandro Circati,au AUS,DF,Parma,it Serie A,21-150,2003,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
541,Pathé Ciss,sn SEN,MF,Rayo Vallecano,es La Liga,30-358,1994,22,14,1242,13.8,2,1,3,2,0,0,7,0,1.5,1.5,0.8,2.3,10,82,10,0.14,0.07,0.22,0.14,0.22,0.11,0.06,0.17,0.11,0.17,Matches
542,Alphadjo Cissè,it ITA,"FW,MF",Hellas Verona,it Serie A,18-138,2006,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.46,0.00,0.46,0.46,0.46,Matches
543,Djaoui Cissé,fr FRA,MF,Rennes,fr Ligue 1,21-037,2004,5,5,396,4.4,1,0,1,1,0,0,3,0,0.2,0.2,0.1,0.3,5,31,3,0.23,0.00,0.23,0.23,0.23,0.04,0.03,0.07,0.04,0.07,Matches
544,Seydouba Cissé,gn GUI,MF,Leganés,es La Liga,24-027,2001,24,22,1726,19.2,2,0,2,2,0,0,3,0,1.3,1.3,0.3,1.6,19,73,31,0.10,0.00,0.10,0.10,0.10,0.07,0.02,0.08,0.07,0.08,Matches
545,Yoann Cissé,fr FRA,MF,Auxerre,fr Ligue 1,20-086,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
546,Patrick Ciurria,it ITA,"MF,DF",Monza,it Serie A,30-028,1995,11,9,752,8.4,1,1,2,1,0,0,1,0,0.7,0.7,1.7,2.4,14,16,34,0.12,0.12,0.24,0.12,0.24,0.09,0.20,0.29,0.09,0.29,Matches
547,Harry Clarke,eng ENG,DF,Ipswich Town,eng Premier League,24-007,2001,7,4,379,4.2,0,0,0,0,0,0,3,1,0.1,0.1,0.0,0.1,5,14,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
548,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,eng Premier League,24-106,2000,23,8,860,9.6,0,3,3,0,0,0,2,0,0.9,0.9,1.8,2.7,25,28,46,0.00,0.31,0.31,0.00,0.31,0.10,0.19,0.28,0.10,0.28,Matches
549,Alexis Claude-Maurice,fr FRA,"MF,FW",Augsburg,de Bundesliga,26-276,1998,19,16,1408,15.6,9,1,10,9,0,0,3,0,3.3,3.3,0.9,4.2,43,38,67,0.58,0.06,0.64,0.58,0.64,0.21,0.06,0.27,0.21,0.27,Matches
550,Jonathan Clauss,fr FRA,"DF,MF",Nice,fr Ligue 1,32-165,1992,19,18,1499,16.7,3,4,7,3,0,0,5,0,1.8,1.8,4.6,6.4,30,61,95,0.18,0.24,0.42,0.18,0.42,0.11,0.28,0.39,0.11,0.39,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
551,Silvi Clúa,es ESP,MF,Girona,es La Liga,20-039,2005,4,2,163,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,4,3,3,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
552,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,eng Premier League,33-338,1991,11,4,397,4.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,5,6,7,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
553,Conor Coady,eng ENG,DF,Leicester City,eng Premier League,32-012,1993,11,8,724,8.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,19,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
554,Marcus Coco,fr FRA,DF,Nantes,fr Ligue 1,28-258,1996,15,8,751,8.3,0,1,1,0,0,0,3,1,0.0,0.0,1.1,1.1,8,32,32,0.00,0.12,0.12,0.00,0.12,0.00,0.13,0.14,0.00,0.14,Matches
555,Saúl Coco,gq EQG,DF,Torino,it Serie A,26-028,1999,26,26,2340,26.0,2,0,2,2,0,0,9,0,1.0,1.0,0.0,1.0,15,61,3,0.08,0.00,0.08,0.08,0.08,0.04,0.00,0.04,0.04,0.04,Matches
556,Séamus Coleman,ie IRL,DF,Everton,eng Premier League,36-149,1988,3,2,197,2.2,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,1,8,2,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.26,0.26,0.26,Matches
557,Nathan Collins,ie IRL,DF,Brentford,eng Premier League,23-313,2001,28,28,2520,28.0,2,1,3,2,0,0,4,0,2.3,2.3,1.4,3.7,23,100,17,0.07,0.04,0.11,0.07,0.11,0.08,0.05,0.13,0.08,0.13,Matches
558,Nnamdi Collins,de GER,DF,Eint Frankfurt,de Bundesliga,21-058,2004,15,11,1008,11.2,1,1,2,1,0,0,1,0,0.2,0.2,1.0,1.2,20,41,26,0.09,0.09,0.18,0.09,0.18,0.02,0.09,0.11,0.02,0.11,Matches
559,Toby Collyer,eng ENG,MF,Manchester Utd,eng Premier League,21-065,2004,4,0,124,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,5,2,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches
560,Lorenzo Colombo,it ITA,"FW,MF",Empoli,it Serie A,23-001,2002,27,23,1864,20.7,5,2,7,4,1,1,3,0,5.5,4.7,2.5,7.2,23,36,99,0.24,0.10,0.34,0.19,0.29,0.26,0.12,0.39,0.23,0.35,Matches
561,Andrea Colpani,it ITA,"FW,MF",Fiorentina,it Serie A,25-302,1999,22,18,1396,15.5,2,1,3,2,0,0,1,0,2.7,2.7,1.3,3.9,37,56,126,0.13,0.06,0.19,0.13,0.19,0.17,0.08,0.25,0.17,0.25,Matches
562,Levi Colwill,eng ENG,DF,Chelsea,eng Premier League,22-011,2003,25,25,2249,25.0,1,1,2,1,0,0,6,0,0.7,0.7,1.0,1.7,10,105,7,0.04,0.04,0.08,0.04,0.08,0.03,0.04,0.07,0.03,0.07,Matches
563,Florinel Coman,ro ROU,"FW,MF",Cagliari,it Serie A,26-333,1998,5,1,134,1.5,1,0,1,1,0,0,1,0,0.1,0.1,0.0,0.1,3,3,13,0.67,0.00,0.67,0.67,0.67,0.08,0.00,0.08,0.08,0.08,Matches
564,Kingsley Coman,fr FRA,FW,Bayern Munich,de Bundesliga,28-269,1996,22,11,1039,11.5,4,4,8,4,0,0,0,0,3.8,3.8,3.2,6.9,55,41,179,0.35,0.35,0.69,0.35,0.69,0.32,0.27,0.60,0.32,0.60,Matches
565,Eray Cömert,ch SUI,"DF,MF",Valladolid,es La Liga,27-033,1998,18,14,1189,13.2,0,0,0,0,0,0,5,0,0.5,0.5,0.0,0.5,7,35,4,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
566,Santi Comesaña,es ESP,MF,Villarreal,es La Liga,28-155,1996,24,20,1672,18.6,3,2,5,3,0,0,5,0,2.5,2.5,1.4,3.9,28,111,39,0.16,0.11,0.27,0.16,0.27,0.13,0.08,0.21,0.13,0.21,Matches
567,Pietro Comuzzo,it ITA,DF,Fiorentina,it Serie A,20-017,2005,23,20,1830,20.3,0,0,0,0,0,0,5,0,0.4,0.4,0.5,0.9,5,56,4,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
568,Francisco Conceição,pt POR,FW,Juventus,it Serie A,22-085,2002,18,10,1010,11.2,3,3,6,3,0,0,5,1,1.6,1.6,3.8,5.4,70,24,118,0.27,0.27,0.53,0.27,0.53,0.14,0.34,0.48,0.14,0.48,Matches
569,Diego Conde,es ESP,GK,Villarreal,es La Liga,26-132,1998,20,20,1782,19.8,0,1,1,0,0,0,2,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.05,0.05,0.00,0.05,0.00,0.01,0.01,0.00,0.01,Matches
570,Tomás Conechny,ar ARG,"FW,MF",Alavés,es La Liga,26-344,1998,14,9,701,7.8,1,0,1,1,0,0,4,0,2.3,2.3,0.2,2.5,12,14,53,0.13,0.00,0.13,0.13,0.13,0.29,0.03,0.32,0.29,0.32,Matches
571,Alois Confais,fr FRA,MF,Le Havre,fr Ligue 1,28-183,1996,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
572,Sirlord Conteh,de GER,"FW,MF",Heidenheim,de Bundesliga,28-243,1996,22,3,682,7.6,0,1,1,0,0,0,1,0,0.7,0.7,1.5,2.2,23,18,59,0.00,0.13,0.13,0.00,0.13,0.09,0.20,0.29,0.09,0.29,Matches
573,Lewis Cook,eng ENG,"MF,DF",Bournemouth,eng Premier League,28-034,1997,26,24,2212,24.6,1,3,4,1,0,0,6,0,0.6,0.6,3.6,4.2,27,130,37,0.04,0.12,0.16,0.04,0.16,0.03,0.15,0.17,0.03,0.17,Matches
574,Copete,es ESP,DF,Mallorca,es La Liga,25-150,1999,17,8,839,9.3,0,0,0,0,0,0,4,0,0.4,0.4,0.0,0.4,7,26,2,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
575,Diego Coppola,it ITA,DF,Hellas Verona,it Serie A,21-071,2003,24,23,2027,22.5,1,0,1,1,0,0,9,0,0.5,0.5,0.1,0.6,4,36,2,0.04,0.00,0.04,0.04,0.04,0.02,0.00,0.02,0.02,0.02,Matches
