Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 37_level_0_Matches
26,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,26-023,1999,17,11,1077,12.0,0,3,3,0,0,0,4,0,1.1,1.1,0.7,1.8,7,45,5,0.00,0.25,0.25,0.00,0.25,0.09,0.06,0.15,0.09,0.15,Matches
27,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,23-276,2001,18,12,1043,11.6,2,1,3,2,0,0,3,1,4.0,4.0,1.4,5.4,6,7,55,0.17,0.09,0.26,0.17,0.26,0.34,0.12,0.47,0.34,0.47,Matches
28,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,27-166,1997,14,10,996,11.1,1,1,2,1,0,0,2,0,0.8,0.8,0.2,1.1,5,27,1,0.09,0.09,0.18,0.09,0.18,0.08,0.02,0.10,0.08,0.10,Matches
29,Martin Adeline,fr FRA,MF,Reims,fr Ligue 1,21-097,2003,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
30,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,23-050,2002,16,11,932,10.4,3,3,6,3,0,0,3,0,3.2,3.2,2.7,5.9,47,18,103,0.29,0.29,0.58,0.29,0.58,0.31,0.26,0.57,0.31,0.57,Matches
31,Simon Adingra,ci CIV,"FW,MF",Brighton,eng Premier League,23-067,2002,19,6,617,6.9,2,1,3,2,0,0,0,0,1.5,1.5,1.1,2.6,23,10,81,0.29,0.15,0.44,0.29,0.44,0.22,0.16,0.38,0.22,0.38,Matches
32,Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,24-303,2000,11,4,403,4.5,1,0,1,1,0,0,2,0,1.4,1.4,0.2,1.7,22,12,67,0.22,0.00,0.22,0.22,0.22,0.32,0.05,0.37,0.32,0.37,Matches
33,Yacine Adli,fr FRA,MF,Fiorentina,it Serie A,24-223,2000,20,14,1120,12.4,3,4,7,3,0,0,3,1,0.5,0.5,2.2,2.6,22,96,23,0.24,0.32,0.56,0.24,0.56,0.04,0.17,0.21,0.04,0.21,Matches
34,Adrián,es ESP,GK,Betis,es La Liga,38-065,1987,7,7,630,7.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
35,Adryelson,br BRA,DF,Lyon,fr Ligue 1,26-351,1998,1,0,1,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
36,Vasilije Adžić,me MNE,"MF,FW",Juventus,it Serie A,18-301,2006,3,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches
37,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,28-062,1997,8,5,382,4.2,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,4,20,9,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.10,0.04,0.10,Matches
38,Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,de Bundesliga,27-025,1998,24,14,1376,15.3,2,1,3,2,0,0,2,0,2.7,2.7,3.3,6.1,47,26,90,0.13,0.07,0.20,0.13,0.20,0.18,0.22,0.40,0.18,0.40,Matches
39,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,27-265,1997,6,6,510,5.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1,14,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
40,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,27-265,1997,14,14,1260,14.0,0,0,0,0,0,0,3,0,0.5,0.5,0.3,0.8,10,77,0,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
41,Asher Agbinone,eng ENG,MF,Crystal Palace,eng Premier League,19-162,2005,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,0,1,0.00,0.00,0.00,0.00,0.00,0.29,0.50,0.79,0.29,0.79,Matches
42,Jeremy Agbonifo,se SWE,"FW,MF",Lens,fr Ligue 1,19-136,2005,4,0,147,1.6,1,0,1,1,0,0,0,0,0.5,0.5,0.1,0.6,6,2,17,0.61,0.00,0.61,0.61,0.61,0.31,0.04,0.35,0.31,0.35,Matches
43,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,24-073,2000,14,14,1206,13.4,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
44,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,23-028,2002,24,13,1156,12.8,0,0,0,0,0,0,3,1,0.3,0.3,0.6,0.9,13,56,13,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.07,0.03,0.07,Matches
45,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,25-163,1999,13,12,990,11.0,2,0,2,2,0,0,1,0,0.7,0.7,0.9,1.5,19,19,74,0.18,0.00,0.18,0.18,0.18,0.06,0.08,0.14,0.06,0.14,Matches
46,Álvaro Aguado,es ESP,MF,Espanyol,es La Liga,28-312,1996,11,4,406,4.5,0,0,0,0,0,0,2,0,0.4,0.4,0.0,0.5,9,25,2,0.00,0.00,0.00,0.00,0.00,0.10,0.01,0.11,0.10,0.11,Matches
47,Lorenzo Aguado,es ESP,DF,Real Madrid,es La Liga,22-171,2002,2,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
48,Nayef Aguerd,ma MAR,DF,Real Sociedad,es La Liga,28-344,1996,19,19,1580,17.6,0,0,0,0,0,0,5,0,2.2,2.2,0.1,2.3,23,70,1,0.00,0.00,0.00,0.00,0.00,0.12,0.01,0.13,0.12,0.13,Matches
49,Ruben Aguilar,fr FRA,DF,Lens,fr Ligue 1,31-317,1993,10,7,616,6.8,1,1,2,1,0,0,2,0,0.3,0.3,0.7,1.0,8,30,53,0.15,0.15,0.29,0.15,0.29,0.04,0.10,0.14,0.04,0.14,Matches
50,Naouirou Ahamada,fr FRA,"MF,FW",Rennes,fr Ligue 1,22-345,2002,3,0,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
